title,link
(여자)아이들((G)I-DLE) - 'Nxde' 활동 영상통화 이벤트 Behind the scenes (ENG/CHN),https://www.youtube.com/watch?v=Gk80c8nSV0k
I-MISSION Ep.시상식 #IMISSION #아이미션 #GIDLE #여자아이들,https://www.youtube.com/watch?v=ZrQpEXo3TwY
(여자)아이들((G)I-DLE) - I-TALK #111 : 2022 TMA & GMA 비하인드 (ENG/CHN),https://www.youtube.com/watch?v=I_YjPHZE04A
(여자)아이들((G)I-DLE) - I-TALK #110: X-FILE VIDEO 비하인드 (ENG/CHN),https://www.youtube.com/watch?v=xecwwEWwqOY
(여자)아이들((G)I-DLE) - I-TALK #109: 'Nxde' 마지막 주 비하인드 (ENG/CHN),https://www.youtube.com/watch?v=YQt3gzOWKMo
(여자)아이들((G)I-DLE) - 'Change' LIVE CLIP,https://www.youtube.com/watch?v=bjFMG8BT144
(여자)아이들((G)I-DLE) - I-TALK #108: 'Nxde' 첫방 비하인드 (ENG/CHN),https://www.youtube.com/watch?v=RM_9krmkC2I
(여자)아이들((G)I-DLE) - I-TALK #107 : X-LOVE SHOW 비하인드 (ENG/CHN),https://www.youtube.com/watch?v=VYgI3YmlxHk
(여자)아이들((G)I-DLE) - 'LOVE' Music Clip,https://www.youtube.com/watch?v=a6Y1GX7wDnA
(여자)아이들((G)I-DLE) - 'MY BAG' Stage Cam @ KOREA NATIONAL SPORT UNIVERSITY,https://www.youtube.com/watch?v=AKAA4js2858
(여자)아이들((G)I-DLE) - 'TOMBOY' Stage Cam @ KOREA NATIONAL SPORT UNIVERSITY,https://www.youtube.com/watch?v=7RuqX8NDMD8
(여자)아이들((G)I-DLE) - 'DUMDi DUMDi' Stage Cam @ KOREA NATIONAL SPORT UNIVERSITY,https://www.youtube.com/watch?v=xB8aJ5KVW1o
(여자)아이들((G)I-DLE) - 'LATATA' Stage Cam @ KOREA NATIONAL SPORT UNIVERSITY,https://www.youtube.com/watch?v=bvNNoY4rH28
